subject,val_acc,val_auc,test_acc,test_auc
1,0.9316666666666666,0.9784619509361454,0.9383333333333334,0.9828205511059025
2,0.9316666666666666,0.9830316364969831,0.9391666666666667,0.9860190949218175
3,0.9016666666666666,0.9690345982142857,0.8875,0.9584892544099385
4,0.9016666666666666,0.9560211874564778,0.9083333333333333,0.9598762101161187
5,0.8766666666666667,0.949552023772005,0.8525,0.9259514165472577
6,0.845,0.9312767427348903,0.8508333333333333,0.9268812168250145
7,0.9,0.9598354876615747,0.8958333333333334,0.9607532948793549
8,0.9333333333333333,0.9755245202831577,0.9216666666666666,0.9702641953218112
9,0.8016666666666666,0.8800172285341776,0.7991666666666667,0.8791428300242465
10,0.8733333333333333,0.9380013163913028,0.8541666666666666,0.9358237307074516
11,0.9633333333333334,0.9955384461331345,0.9658333333333333,0.9935641317633693
12,0.925,0.9722052467249636,0.9041666666666667,0.9634407227951637
13,0.8866666666666667,0.9462746305418719,0.8666666666666667,0.9297607230250704
14,0.93,0.9848473061877667,0.94,0.9872689464597969
15,0.8916666666666667,0.9609371492704826,0.8966666666666666,0.9522270467807533
16,0.88,0.9500466853408029,0.8766666666666667,0.9441557069960312
17,0.9083333333333333,0.9697109540317861,0.8791666666666667,0.956055161286683
18,0.9916666666666667,0.9988015108227204,0.9816666666666667,0.9986699163528432
