subject,val_acc,val_auc,test_acc,test_auc
1,0.95,0.9812446717817562,0.9,0.9586885478829212
2,0.9333333333333333,0.9841490545050056,0.9375,0.98125
3,0.9333333333333333,0.97265625,0.9208333333333333,0.9619021134593994
4,0.95,0.9659219457013574,0.9291666666666667,0.9740105255569173
5,0.9333333333333333,0.9810637705374547,0.9375,0.9670204430514994
6,0.9333333333333333,0.9735576923076923,0.8916666666666667,0.9550980254374254
7,0.925,0.9795555555555555,0.8916666666666667,0.9525007185972981
8,0.9166666666666666,0.9718518518518519,0.9625,0.9857216142270863
9,0.875,0.9663515016685206,0.9125,0.969846219261569
10,0.8833333333333333,0.9521261616446072,0.8541666666666666,0.9253508084621411
11,0.8833333333333333,0.9165714285714286,0.9125,0.9595373714920812
12,0.95,0.9793929267613478,0.9458333333333333,0.9820783550986385
13,0.9583333333333334,0.9834722621442944,0.9125,0.963939525462963
14,0.9333333333333333,0.9823232323232324,0.9416666666666667,0.9781883856626841
15,0.9666666666666667,0.9687411996620671,0.975,0.989700176366843
16,0.925,0.9671428571428572,0.9166666666666666,0.966421023359288
17,0.925,0.9699795977849024,0.8916666666666667,0.9394798384239246
18,1.0,1.0,0.9708333333333333,0.997925925925926
