subject,val_acc,val_auc,test_acc,test_auc
1,0.9183333333333333,0.9822880825774164,0.9183333333333333,0.9791722424279987
2,0.9483333333333334,0.9892267004478226,0.95,0.9887538855138045
3,0.84,0.9247209821428571,0.84,0.9070444091256926
4,0.8933333333333333,0.9619459126245733,0.9016666666666666,0.9651060701962145
5,0.9083333333333333,0.9697109540317861,0.8791666666666667,0.956055161286683
6,0.8483333333333334,0.9312823141379923,0.845,0.9312134796378072
7,0.9116666666666666,0.9748237367802586,0.9058333333333334,0.964999296573565
8,0.94,0.978276731652991,0.935,0.9756653884211823
9,0.855,0.9299683367479978,0.8808333333333334,0.9448111620201393
10,0.95,0.9918004440031682,0.9275,0.9758837907675117
11,0.8516666666666667,0.9374269851689494,0.8491666666666666,0.933019915970364
12,0.8516666666666667,0.9367159635107056,0.8791666666666667,0.9420758134779518
13,0.875,0.9454935230797301,0.8816666666666667,0.9524952098434829
14,0.9733333333333334,0.9966105085348507,0.9783333333333334,0.9971977504163063
15,0.9233333333333333,0.9728226711560045,0.9075,0.9672952938567807
16,0.8933333333333333,0.9624683206615978,0.8916666666666667,0.9566541783860102
17,0.83,0.916345514950166,0.8441666666666666,0.9166729816380064
18,0.9916666666666667,0.9988015108227204,0.9816666666666667,0.9986699163528432
