epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.682443,0.680462,0.568688,0.583784,0.00006030
2,0.678753,0.677684,0.588026,0.585946,0.00012030
3,0.673976,0.691259,0.586479,0.515676,0.00018030
4,0.672110,0.679752,0.589728,0.580541,0.00024030
5,0.669025,0.696839,0.594833,0.517838,0.00030000
6,0.660356,0.690979,0.606900,0.583784,0.00029993
7,0.650430,0.672051,0.622834,0.592432,0.00029970
8,0.638407,0.676153,0.641244,0.616216,0.00029934
9,0.629114,0.659305,0.648205,0.628108,0.00029882
10,0.615387,0.651124,0.663676,0.603243,0.00029816
11,0.606692,0.656012,0.669554,0.624865,0.00029735
12,0.596325,0.652890,0.686726,0.620541,0.00029640
13,0.589043,0.680234,0.688428,0.594595,0.00029530
14,0.581195,0.652574,0.699876,0.630270,0.00029406
15,0.571399,0.663144,0.705600,0.627027,0.00029269
16,0.566499,0.660547,0.703434,0.633514,0.00029117
17,0.565185,0.698563,0.710860,0.642162,0.00028951
18,0.547482,0.689543,0.723236,0.633514,0.00028772
19,0.539970,0.670765,0.731281,0.637838,0.00028579
20,0.535935,0.716447,0.728806,0.580541,0.00028373
21,0.532459,0.684868,0.735458,0.634595,0.00028154
22,0.524728,0.693570,0.740254,0.635676,0.00027922
23,0.521142,0.677359,0.737160,0.625946,0.00027678
24,0.511436,0.682897,0.746906,0.634595,0.00027422
25,0.516752,0.706301,0.745050,0.651892,0.00027153
26,0.501502,0.711048,0.757890,0.641081,0.00026873
27,0.490556,0.711053,0.767327,0.644324,0.00026582
28,0.479624,0.715925,0.769338,0.618378,0.00026280
29,0.477284,0.749045,0.770575,0.593514,0.00025967
30,0.470176,0.710482,0.776609,0.654054,0.00025643
31,0.465190,0.710507,0.780631,0.616216,0.00025310
32,0.462982,0.775400,0.778775,0.642162,0.00024967
33,0.452426,0.733281,0.786355,0.624865,0.00024615
34,0.438130,0.789144,0.797494,0.633514,0.00024253
35,0.436598,0.772148,0.798731,0.622703,0.00023884
36,0.431142,0.763625,0.795947,0.643243,0.00023506
37,0.422012,0.734529,0.806621,0.635676,0.00023121
38,0.415215,0.756556,0.815439,0.623784,0.00022728
39,0.414023,0.760517,0.807240,0.625946,0.00022329
40,0.407296,0.771803,0.816522,0.629189,0.00021923
41,0.395530,0.771825,0.822092,0.650811,0.00021511
42,0.390845,0.762256,0.821009,0.628108,0.00021094
43,0.382138,0.877894,0.832921,0.642162,0.00020672
44,0.379830,0.798037,0.831528,0.647568,0.00020245
45,0.367030,0.821685,0.832921,0.649730,0.00019814
46,0.352489,0.855942,0.844988,0.642162,0.00019380
47,0.354847,0.842428,0.841275,0.621622,0.00018942
48,0.346289,0.815631,0.850557,0.652973,0.00018502
49,0.333736,0.833522,0.857364,0.646486,0.00018059
50,0.330058,0.887012,0.859530,0.657297,0.00017615
51,0.321906,0.838041,0.859839,0.654054,0.00017169
52,0.309352,0.879604,0.865099,0.660541,0.00016723
53,0.295703,0.924275,0.873453,0.644324,0.00016277
54,0.298238,0.887630,0.872215,0.650811,0.00015831
55,0.282287,0.955228,0.884437,0.657297,0.00015385
56,0.272389,1.017453,0.883509,0.648649,0.00014941
57,0.267510,1.005251,0.885056,0.664865,0.00014498
58,0.263143,0.989465,0.882890,0.656216,0.00014058
59,0.248884,0.903117,0.891708,0.654054,0.00013620
60,0.248026,1.002685,0.896040,0.656216,0.00013186
