epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.623353,0.385776,0.643232,0.809730,0.00008012
2,0.336534,0.205874,0.887052,0.925405,0.00009978
3,0.275959,0.175857,0.920581,0.935135,0.00009880
4,0.237772,0.185781,0.944376,0.920000,0.00009705
5,0.225743,0.131700,0.953492,0.960000,0.00009458
6,0.201162,0.122486,0.965853,0.965405,0.00009140
7,0.190991,0.199793,0.974197,0.916757,0.00008760
8,0.186289,0.119593,0.977905,0.960000,0.00008322
9,0.176521,0.095875,0.981613,0.971892,0.00007835
10,0.173888,0.095098,0.985012,0.970811,0.00007308
11,0.169207,0.094703,0.986557,0.969730,0.00006748
12,0.161733,0.087016,0.990111,0.977297,0.00006167
13,0.157994,0.082585,0.990884,0.980541,0.00005574
14,0.156095,0.085265,0.992583,0.981622,0.00004980
15,0.154206,0.079465,0.993511,0.980541,0.00004395
16,0.150480,0.078177,0.995210,0.980541,0.00003830
17,0.149438,0.078463,0.996601,0.984865,0.00003293
18,0.147735,0.075667,0.995983,0.981622,0.00002795
19,0.145182,0.079232,0.996137,0.984865,0.00002344
20,0.144057,0.074443,0.997373,0.983784,0.00001949
21,0.143087,0.072936,0.998146,0.985946,0.00001615
22,0.142189,0.071188,0.998300,0.984865,0.00001350
23,0.140817,0.071402,0.998146,0.985946,0.00001157
24,0.140887,0.072182,0.998146,0.983784,0.00001039
25,0.140444,0.071107,0.998609,0.984865,0.00001000
