epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.686321,0.679668,0.558933,0.570964,0.00006015
2,0.677044,0.679328,0.578629,0.570964,0.00012015
3,0.665619,0.656799,0.596929,0.613218,0.00018015
4,0.639105,0.652517,0.640199,0.622969,0.00024015
5,0.601581,0.636965,0.680056,0.671723,0.00030000
6,0.559426,0.645453,0.712004,0.648971,0.00029993
7,0.527099,0.652897,0.734801,0.661972,0.00029970
8,0.490059,0.660604,0.762407,0.665222,0.00029934
9,0.443456,0.676763,0.785825,0.666306,0.00029882
10,0.410443,0.653930,0.810019,0.704225,0.00029816
11,0.379694,0.681541,0.828939,0.687974,0.00029735
12,0.331946,0.747245,0.855304,0.723727,0.00029640
13,0.286426,1.028605,0.881824,0.706392,0.00029530
14,0.255667,0.806460,0.899194,0.728061,0.00029406
15,0.227119,0.925765,0.912531,0.726977,0.00029269
16,0.182954,0.893647,0.926489,0.738895,0.00029117
17,0.169862,1.095955,0.939671,0.731311,0.00028951
18,0.143713,1.579844,0.949132,0.733478,0.00028772
19,0.146173,1.467035,0.953164,0.733478,0.00028579
20,0.119574,1.690326,0.960608,0.723727,0.00028373
21,0.112458,1.712072,0.967742,0.755146,0.00028154
22,0.102915,1.588380,0.969758,0.725894,0.00027922
23,0.098273,1.813081,0.971619,0.744312,0.00027678
24,0.100806,2.002708,0.970223,0.754063,0.00027422
25,0.079960,2.165101,0.976117,0.749729,0.00027153
26,0.092552,2.398336,0.974876,0.751896,0.00026873
27,0.076521,2.348348,0.981079,0.757313,0.00026582
28,0.069604,2.446836,0.980459,0.748646,0.00026280
29,0.077041,2.360818,0.981079,0.745395,0.00025967
30,0.071252,2.155988,0.980459,0.769231,0.00025643
31,0.071017,2.492228,0.982785,0.767064,0.00025310
32,0.062494,2.822914,0.984957,0.752979,0.00024967
33,0.066793,2.439177,0.984336,0.739978,0.00024615
34,0.047961,3.007105,0.988679,0.746479,0.00024253
35,0.058500,2.783008,0.986197,0.760563,0.00023884
