epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.652686,0.576368,0.582536,0.708333,0.00006029
2,0.586348,0.535040,0.696172,0.766667,0.00012029
3,0.533711,0.603383,0.740431,0.766667,0.00018029
4,0.445747,0.745769,0.812201,0.741667,0.00024029
5,0.516859,1.029457,0.860048,0.783333,0.00030000
6,0.405761,0.928051,0.879187,0.816667,0.00029993
7,0.337270,0.993532,0.917464,0.866667,0.00029970
8,0.332476,0.945796,0.942584,0.908333,0.00029934
9,0.307796,0.846717,0.959330,0.891667,0.00029882
10,0.242286,1.333081,0.959330,0.841667,0.00029816
11,0.099287,0.827617,0.979665,0.900000,0.00029735
12,0.098340,1.260693,0.980861,0.866667,0.00029640
13,0.091931,0.863532,0.984450,0.908333,0.00029530
14,0.212832,0.679598,0.978469,0.925000,0.00029406
15,0.036842,1.230075,0.994019,0.900000,0.00029269
16,0.015288,1.520923,0.995215,0.916667,0.00029117
17,0.034967,1.334711,0.989234,0.883333,0.00028951
18,0.058909,0.793354,0.990431,0.916667,0.00028772
19,0.051107,2.397276,0.991627,0.866667,0.00028579
20,0.227648,1.450524,0.980861,0.883333,0.00028373
21,0.050308,1.360682,0.991627,0.866667,0.00028154
22,0.069754,0.606670,0.992823,0.916667,0.00027922
23,0.512360,0.618746,0.982057,0.933333,0.00027678
24,0.057610,1.144531,0.992823,0.925000,0.00027422
25,0.100771,0.301557,0.988038,0.950000,0.00027153
26,0.051038,0.398087,0.990431,0.950000,0.00026873
27,0.002148,0.761118,0.998804,0.916667,0.00026582
28,0.062247,0.579727,0.986842,0.950000,0.00026280
29,0.050507,1.214163,0.991627,0.916667,0.00025967
30,0.017808,1.558285,0.996411,0.908333,0.00025643
31,0.116631,1.847135,0.991627,0.883333,0.00025310
32,0.219311,1.612489,0.985646,0.925000,0.00024967
33,0.008319,1.795914,0.997608,0.916667,0.00024615
34,0.027193,0.894942,0.995215,0.933333,0.00024253
35,0.005604,0.628382,0.998804,0.950000,0.00023884
36,0.000005,0.663480,1.000000,0.941667,0.00023506
37,0.000001,0.645079,1.000000,0.950000,0.00023121
38,0.000000,0.640989,1.000000,0.950000,0.00022728
39,0.000000,0.637860,1.000000,0.950000,0.00022329
40,0.000000,0.637484,1.000000,0.950000,0.00021923
41,0.000000,0.637146,1.000000,0.950000,0.00021511
42,0.000000,0.637038,1.000000,0.950000,0.00021094
43,0.000000,0.636363,1.000000,0.950000,0.00020672
44,0.000000,0.634525,1.000000,0.950000,0.00020245
45,0.000000,0.634491,1.000000,0.950000,0.00019814
46,0.000000,0.629536,1.000000,0.950000,0.00019380
47,0.000000,0.630135,1.000000,0.950000,0.00018942
48,0.000000,0.630192,1.000000,0.950000,0.00018502
49,0.000000,0.630814,1.000000,0.950000,0.00018059
50,0.000000,0.631239,1.000000,0.950000,0.00017615
51,0.000000,0.631904,1.000000,0.950000,0.00017169
52,0.000000,0.632153,1.000000,0.950000,0.00016723
53,0.000000,0.632187,1.000000,0.950000,0.00016277
54,0.000000,0.633619,1.000000,0.950000,0.00015831
55,0.000000,0.633948,1.000000,0.950000,0.00015385
56,0.000000,0.634677,1.000000,0.950000,0.00014941
57,0.000000,0.634795,1.000000,0.950000,0.00014498
58,0.000000,0.633977,1.000000,0.950000,0.00014058
59,0.000000,0.635387,1.000000,0.950000,0.00013620
60,0.000000,0.635000,1.000000,0.950000,0.00013186
61,0.000000,0.635279,1.000000,0.950000,0.00012755
62,0.000000,0.636422,1.000000,0.950000,0.00012328
63,0.000000,0.636419,1.000000,0.950000,0.00011906
64,0.000000,0.636954,1.000000,0.950000,0.00011489
65,0.000000,0.636555,1.000000,0.950000,0.00011077
66,0.000000,0.636154,1.000000,0.950000,0.00010671
67,0.000000,0.635928,1.000000,0.950000,0.00010272
68,0.000000,0.635218,1.000000,0.950000,0.00009879
69,0.000000,0.636656,1.000000,0.950000,0.00009494
70,0.000000,0.637044,1.000000,0.950000,0.00009116
71,0.000000,0.637228,1.000000,0.950000,0.00008747
72,0.000000,0.637994,1.000000,0.950000,0.00008385
73,0.000000,0.639186,1.000000,0.950000,0.00008033
74,0.000000,0.639627,1.000000,0.950000,0.00007690
75,0.000000,0.639894,1.000000,0.950000,0.00007357
