epoch,train_loss,val_loss,train_r,val_r
1,0.812216,0.769211,0.020140,0.014111
2,0.746150,0.745571,0.098744,0.039764
3,0.705574,0.714515,0.152210,0.083187
4,0.666075,0.715893,0.204940,0.074627
5,0.648610,0.693462,0.228787,0.106712
6,0.624626,0.695280,0.261564,0.100819
7,0.606574,0.687656,0.286642,0.112003
8,0.589066,0.663401,0.310972,0.144091
9,0.576410,0.677553,0.328466,0.124802
10,0.562339,0.660018,0.348184,0.149627
11,0.544705,0.650809,0.373211,0.161008
12,0.528529,0.632523,0.395672,0.186467
13,0.521412,0.639509,0.405725,0.177634
14,0.505519,0.629476,0.427915,0.191601
15,0.492823,0.623456,0.445742,0.199535
16,0.488477,0.611879,0.451786,0.215941
17,0.473336,0.618936,0.472931,0.205353
18,0.467868,0.614570,0.480598,0.211640
19,0.456465,0.593849,0.496793,0.241289
20,0.444986,0.580340,0.512786,0.259776
21,0.439082,0.601333,0.521044,0.230593
22,0.431807,0.579808,0.531358,0.261363
23,0.411086,0.579826,0.560491,0.261056
24,0.400439,0.566004,0.575248,0.280694
25,0.393492,0.565863,0.585075,0.281134
26,0.379381,0.561609,0.604943,0.286971
27,0.379917,0.546908,0.604061,0.307406
28,0.365646,0.554768,0.623899,0.296900
29,0.362611,0.542871,0.628296,0.313582
30,0.359182,0.547128,0.632763,0.307352
31,0.342783,0.521864,0.655743,0.342939
32,0.339979,0.534297,0.659371,0.326115
33,0.332047,0.526966,0.670484,0.336158
34,0.320484,0.521544,0.686502,0.343816
35,0.311166,0.511074,0.699393,0.358331
36,0.305494,0.511068,0.707355,0.358429
37,0.296299,0.507452,0.719958,0.363987
38,0.288169,0.503938,0.731117,0.368536
39,0.290626,0.504544,0.727949,0.367720
40,0.282839,0.498260,0.738188,0.376795
41,0.275722,0.480525,0.747838,0.401421
42,0.269566,0.480091,0.756529,0.401917
43,0.264356,0.484469,0.763555,0.396446
44,0.261429,0.479475,0.767094,0.403639
45,0.253532,0.476099,0.778170,0.408295
46,0.246329,0.473493,0.788063,0.412054
47,0.245938,0.468332,0.787917,0.419160
48,0.238637,0.477213,0.798386,0.407131
49,0.233067,0.466309,0.805084,0.422198
50,0.228135,0.461019,0.811789,0.430900
51,0.223558,0.456161,0.818113,0.437290
52,0.221778,0.465364,0.819934,0.423801
53,0.214876,0.453503,0.829359,0.441163
54,0.213486,0.459372,0.831177,0.432724
55,0.207154,0.448870,0.839319,0.448657
56,0.206324,0.446636,0.839871,0.450283
57,0.200423,0.453225,0.847751,0.441645
58,0.200652,0.441569,0.847532,0.458472
59,0.197434,0.442013,0.850960,0.457141
60,0.195890,0.447976,0.853034,0.449211
61,0.188788,0.450830,0.862094,0.446503
62,0.191622,0.445608,0.858298,0.453370
63,0.186721,0.445537,0.864667,0.453579
64,0.181612,0.431085,0.870893,0.473439
65,0.176867,0.437547,0.877401,0.464587
66,0.173706,0.427992,0.880594,0.478477
67,0.174674,0.433629,0.879322,0.471492
68,0.169429,0.429858,0.885900,0.475092
69,0.166736,0.425971,0.889238,0.482602
70,0.168608,0.441796,0.886436,0.459048
71,0.165118,0.421111,0.890934,0.489089
72,0.163344,0.424064,0.892739,0.485067
73,0.161416,0.434177,0.895147,0.471069
74,0.162062,0.428386,0.893879,0.479286
75,0.158983,0.431939,0.897684,0.474222
76,0.154248,0.428415,0.903282,0.480356
77,0.150878,0.416850,0.907455,0.495554
78,0.158621,0.421429,0.896968,0.491056
79,0.153107,0.418020,0.903656,0.494775
80,0.150369,0.415630,0.906988,0.497907
81,0.144411,0.423566,0.914222,0.486689
82,0.144571,0.415804,0.913542,0.497555
83,0.141814,0.423703,0.916621,0.487934
84,0.138209,0.414779,0.920737,0.498845
85,0.135496,0.418853,0.923625,0.494895
86,0.134264,0.414882,0.924619,0.499248
87,0.135374,0.415261,0.922279,0.499473
88,0.137979,0.417557,0.918541,0.498218
89,0.137151,0.415856,0.920052,0.501091
90,0.133646,0.409052,0.923708,0.509659
91,0.131839,0.411914,0.925339,0.504263
92,0.129405,0.413781,0.927694,0.502149
93,0.131285,0.409571,0.924935,0.508000
94,0.126251,0.417097,0.930738,0.498651
95,0.128961,0.418031,0.927015,0.497005
96,0.127023,0.404313,0.929080,0.516802
97,0.125382,0.405917,0.931204,0.514736
98,0.122427,0.413198,0.933008,0.506370
99,0.120118,0.412928,0.935324,0.505485
100,0.121375,0.411192,0.933418,0.507728
