epoch,train_loss,val_loss,train_r,val_r
1,0.821028,0.784622,-0.002010,-0.005731
2,0.795975,0.756470,0.026956,0.018109
3,0.784195,0.766649,0.040123,0.004759
4,0.761134,0.741917,0.070847,0.032381
5,0.753597,0.743998,0.080750,0.029874
6,0.740152,0.740092,0.098289,0.036194
7,0.745031,0.748571,0.092441,0.023257
8,0.720338,0.744684,0.125986,0.028637
9,0.721225,0.744818,0.124477,0.026262
10,0.708879,0.734255,0.141813,0.040972
11,0.693874,0.730800,0.162196,0.044864
12,0.685253,0.741705,0.174062,0.029315
13,0.678607,0.722780,0.183496,0.056483
14,0.667587,0.726829,0.199174,0.050274
15,0.668198,0.724730,0.197980,0.052084
16,0.665039,0.732878,0.202179,0.041049
17,0.660206,0.732318,0.209078,0.041507
18,0.658705,0.714446,0.211252,0.066709
19,0.638837,0.715616,0.239236,0.065025
20,0.639324,0.713902,0.238446,0.067077
21,0.635276,0.711888,0.244276,0.070552
22,0.630817,0.706439,0.250555,0.078655
23,0.623340,0.713931,0.261013,0.067078
24,0.630682,0.695560,0.250737,0.093928
25,0.624764,0.711189,0.259095,0.071824
26,0.631085,0.690417,0.250205,0.101245
27,0.626012,0.690926,0.257360,0.100033
28,0.613550,0.692848,0.275013,0.097800
29,0.613233,0.677126,0.275255,0.119639
30,0.615653,0.688740,0.271927,0.103189
31,0.602448,0.687394,0.290442,0.105312
32,0.601815,0.683603,0.291394,0.110220
33,0.596838,0.661479,0.298500,0.141674
34,0.600978,0.680243,0.292659,0.115806
35,0.610763,0.670326,0.278790,0.129822
36,0.590329,0.661613,0.307711,0.142807
37,0.590873,0.658978,0.306723,0.145105
38,0.582970,0.637030,0.317934,0.176760
39,0.580689,0.647260,0.321247,0.162296
40,0.574214,0.642097,0.330176,0.169410
41,0.574448,0.656631,0.329832,0.149321
42,0.571012,0.620981,0.334706,0.199957
43,0.565713,0.635276,0.341965,0.179442
44,0.571190,0.627456,0.334300,0.190492
45,0.560179,0.619989,0.349977,0.200436
46,0.561296,0.617103,0.348069,0.205139
47,0.560353,0.635812,0.349667,0.178661
48,0.559811,0.613736,0.350276,0.210211
49,0.552540,0.620734,0.360494,0.199863
50,0.555590,0.619631,0.356248,0.201356
51,0.560596,0.615012,0.349109,0.208679
52,0.545933,0.612816,0.369793,0.212367
53,0.550221,0.617496,0.363830,0.205450
54,0.551527,0.604476,0.361925,0.223014
55,0.547095,0.601777,0.368062,0.227141
56,0.544782,0.623782,0.371366,0.196814
57,0.547438,0.606458,0.367618,0.221942
58,0.538053,0.608957,0.380772,0.218323
59,0.530033,0.620232,0.391820,0.201322
60,0.533102,0.598438,0.387677,0.232963
61,0.532715,0.590361,0.388135,0.243110
62,0.532713,0.590316,0.388194,0.243457
63,0.530382,0.613438,0.391440,0.211649
64,0.518357,0.607175,0.408130,0.220475
65,0.522149,0.597953,0.402957,0.233104
66,0.515760,0.599298,0.411801,0.231449
67,0.523425,0.597650,0.401200,0.233084
68,0.514636,0.602191,0.413506,0.227041
69,0.516889,0.580531,0.410098,0.257519
70,0.515685,0.590001,0.411777,0.244413
71,0.508875,0.581300,0.421417,0.256157
72,0.506100,0.588176,0.425283,0.247873
73,0.502448,0.583834,0.430326,0.254029
74,0.503541,0.588907,0.428960,0.247807
75,0.494998,0.598084,0.440691,0.233060
76,0.495985,0.584632,0.439377,0.252447
77,0.484188,0.584601,0.455982,0.252865
78,0.492576,0.581191,0.444274,0.257421
79,0.490487,0.585850,0.446907,0.251069
