epoch,train_loss,val_loss,train_r,val_r
1,0.863858,0.881494,0.001448,0.006225
2,0.834961,0.854389,0.038957,0.021178
3,0.810630,0.858136,0.065136,0.017135
4,0.794634,0.855345,0.086196,0.020468
5,0.775469,0.843653,0.112371,0.035266
6,0.751219,0.836061,0.145544,0.045094
7,0.745459,0.825397,0.153647,0.059934
8,0.725043,0.832242,0.181911,0.050566
9,0.703574,0.812016,0.211708,0.078176
10,0.694997,0.817064,0.223628,0.071618
11,0.689357,0.813563,0.231457,0.075677
12,0.675525,0.805639,0.250964,0.086575
13,0.671764,0.801120,0.255682,0.093366
14,0.660041,0.792671,0.272247,0.104947
15,0.650177,0.795415,0.286097,0.101579
16,0.633754,0.789739,0.309306,0.108926
17,0.644984,0.786774,0.293474,0.113656
18,0.623921,0.790351,0.322741,0.107814
19,0.602790,0.766799,0.352545,0.140953
20,0.601018,0.761230,0.355045,0.149124
21,0.585111,0.783522,0.377315,0.117861
22,0.588674,0.761511,0.372193,0.148154
23,0.573308,0.759061,0.393984,0.151952
24,0.576802,0.767045,0.389199,0.140864
25,0.549430,0.760078,0.427501,0.150459
26,0.549133,0.753874,0.427676,0.159133
27,0.544737,0.747352,0.433947,0.167980
28,0.531849,0.739933,0.451350,0.178434
29,0.522279,0.735794,0.465296,0.184053
30,0.518489,0.727855,0.470499,0.194983
31,0.502088,0.717456,0.493249,0.209443
32,0.494951,0.721266,0.503032,0.204496
33,0.496142,0.719874,0.501302,0.206324
34,0.482027,0.718083,0.520673,0.208054
35,0.470806,0.693205,0.536285,0.243327
36,0.475230,0.705692,0.529820,0.225788
37,0.461821,0.688495,0.548720,0.249947
38,0.448622,0.687533,0.567138,0.251022
39,0.441991,0.672992,0.575557,0.271282
40,0.431818,0.681270,0.589725,0.260033
41,0.430217,0.671506,0.592042,0.273911
42,0.416174,0.662746,0.611177,0.285089
43,0.410625,0.653557,0.618697,0.298112
44,0.404784,0.639075,0.626299,0.318238
45,0.404487,0.635692,0.626730,0.322570
46,0.393659,0.638092,0.641723,0.319067
47,0.388163,0.626735,0.648996,0.334868
48,0.391552,0.606976,0.643724,0.362013
49,0.382630,0.622681,0.655956,0.339867
50,0.384177,0.600231,0.653565,0.371224
51,0.368889,0.593566,0.673516,0.380015
52,0.356620,0.588433,0.690022,0.386652
53,0.355784,0.586764,0.690980,0.388965
54,0.350595,0.562730,0.697664,0.422197
55,0.347034,0.556805,0.701894,0.430467
56,0.343259,0.556405,0.707108,0.431160
57,0.335573,0.540819,0.717624,0.452526
58,0.323679,0.537565,0.732819,0.455679
59,0.321744,0.527598,0.734458,0.469623
60,0.305989,0.527077,0.756337,0.469889
61,0.310080,0.516459,0.749894,0.484382
62,0.302891,0.497795,0.758950,0.509323
63,0.298055,0.508340,0.765706,0.495798
64,0.301992,0.504305,0.759212,0.500788
65,0.285220,0.477654,0.782175,0.537831
66,0.283127,0.474752,0.784386,0.540313
67,0.280633,0.492866,0.785926,0.516654
68,0.290119,0.463233,0.773117,0.555136
69,0.275923,0.465917,0.790581,0.551148
70,0.265716,0.474641,0.804067,0.538894
71,0.263960,0.445290,0.805599,0.578184
72,0.253452,0.435730,0.819682,0.590664
73,0.256289,0.453395,0.813610,0.566859
74,0.258597,0.443511,0.811203,0.579533
75,0.247341,0.430091,0.824249,0.596917
76,0.244368,0.414328,0.827042,0.618039
77,0.234863,0.401441,0.838139,0.634682
78,0.228855,0.408896,0.845649,0.625124
79,0.229026,0.397866,0.844681,0.639918
80,0.232448,0.417233,0.839519,0.612235
81,0.229085,0.400074,0.842826,0.633771
82,0.220931,0.388026,0.851071,0.650645
83,0.214745,0.385604,0.859536,0.651276
84,0.210938,0.389591,0.862287,0.645514
85,0.214628,0.373028,0.856540,0.666328
86,0.206027,0.373438,0.866534,0.664289
87,0.201141,0.346516,0.871509,0.698023
88,0.195998,0.379478,0.877309,0.654115
89,0.204125,0.362512,0.865349,0.677242
90,0.203101,0.348587,0.866462,0.693971
91,0.192157,0.366046,0.878964,0.670358
92,0.192882,0.341428,0.876842,0.702579
