2025-08-16 16:51:50,443 | INFO | plot_audio | Saved plot_audio -> figures/audio_0ms_1000ms_1.png
2025-08-16 16:51:50,445 | INFO | get_audio_signal | Concatenated 2 trials for stream A
2025-08-16 16:51:50,445 | INFO | get_audio_signal | Concatenated 2 trials for stream B
2025-08-16 16:51:50,454 | INFO | eeg_and_attended_envelope | eeg_and_attended_envelope -> EEG (2000, 32), ENV (2000,)
2025-08-16 16:51:51,166 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:51:51,927 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:51:52,192 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:52,381 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:51:53,144 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:51:53,341 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:53,504 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:51:53,616 | INFO | _clean_to_64 | Trimmed EEG channels 66->64
2025-08-16 16:51:53,632 | INFO | subject_eeg_env_ab | Built attended envelope; A%=0.000, B%=0.000
2025-08-16 16:51:54,273 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:51:54,469 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:54,793 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:51:54,953 | INFO | plot_window | Window 0.00-10.00s A%=0.0 B%=0.0
2025-08-16 16:51:55,145 | INFO | plot_window | Saved plot_window -> figures/S01_eeg_audio_0ms_10000ms.png
2025-08-16 16:51:55,801 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:51:56,018 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:56,161 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:51:56,920 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:51:57,123 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:57,263 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:51:57,382 | INFO | _clean_to_64 | Trimmed EEG channels 66->64
2025-08-16 16:51:57,399 | INFO | subject_eeg_env_ab | Built attended envelope; A%=0.000, B%=0.000
2025-08-16 16:51:57,608 | INFO | plot_eeg_and_audio | Saved plot_eeg_and_audio -> figures/eeg_audio_5000ms_15000ms_1.png
2025-08-16 16:51:57,884 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:57,884 | INFO | get_audio_signal | Concatenated 60 trials for stream A
2025-08-16 16:51:58,095 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:51:58,095 | INFO | get_audio_signal | Concatenated 60 trials for stream B
2025-08-16 16:52:24,181 | INFO | plot_audio | Saved plot_audio -> figures/audio_0ms_1000ms.png
2025-08-16 16:52:24,182 | INFO | get_audio_signal | Concatenated 2 trials for stream A
2025-08-16 16:52:24,182 | INFO | get_audio_signal | Concatenated 2 trials for stream B
2025-08-16 16:52:24,190 | INFO | eeg_and_attended_envelope | eeg_and_attended_envelope -> EEG (2000, 32), ENV (2000,)
2025-08-16 16:52:24,900 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:52:25,577 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:52:25,822 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:52:25,972 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:52:26,803 | INFO | load_mat_for_subject | Loaded MAT for S1 from /home/naren-root/Documents/FYP/AAD/Notebooks/Dataset/DATA_preproc/S1_data_preproc.mat
2025-08-16 16:52:27,058 | INFO | _explode_trials_from_group | Exploded group into 60 trials
2025-08-16 16:52:27,238 | INFO | load_subject | Loaded subject S1: EEG (66, 192000), two_streams=True
2025-08-16 16:52:27,385 | INFO | _clean_to_64 | Trimmed EEG channels 66->64
2025-08-16 16:52:27,404 | INFO | subject_eeg_env_ab | Built attended envelope; A%=0.000, B%=0.000
