subject,val_r,test_r
1,0.25729425499836606,0.23277846754839024
2,0.2684026392797629,0.2763430654381712
3,0.19512871131300927,0.14639405105262995
4,0.2611981478830179,0.2409753209600846
5,0.2939590595662594,0.23658459956447284
6,0.22596759075919787,0.24356500571593642
7,0.22600260811547437,0.23397609026481708
8,0.2252242476368944,0.21822484109240273
9,0.26255340352654455,0.3127101968973875
10,0.3478913692757487,0.34861947149038314
11,0.03783060632025202,0.024328509345650673
12,0.21170281171798705,0.19698125465462604
13,0.23505014690260093,0.23990657726923625
14,0.39025474165876706,0.3587907551477353
15,0.2351250429948171,0.2746672101939718
16,0.19153845986972254,0.2283635310207804
17,0.1870496532569329,0.19874787889420986
18,0.26150115380684535,0.2559733035042882
