subject,val_r,test_r
14,0.7764569620291392,0.7667483290036521
1,0.66113274594148,0.6838066587845485
2,0.7001520842313766,0.6499688583115737
3,0.7256813665231069,0.6605681985616684
4,0.6598398640751839,0.6814221143722534
5,0.748707511027654,0.6803185900052389
6,0.70752612054348,0.706988758345445
7,0.6911848028500874,0.6977075609068076
8,0.6820290903250377,0.6626099447409312
9,0.6712135563294093,0.6954959308107694
10,0.6731732100248337,0.6871348157525062
11,0.5970320115486781,0.5844842548171679
12,0.6621005247036617,0.6482306314011415
13,0.6749275892972946,0.7052284280459086
15,0.6685413936773936,0.6949925084908803
16,0.6639216661453247,0.7048755342761676
17,0.6947859952847163,0.6976999814311663
18,0.6942765245834986,0.6951241652170818
1,0.6740682224432627,0.6761604025959969
1,0.7392123123412444,0.7274384034834903
