start_idx,end_idx,rA,rB,pred,true,correct
8,328,0.6362203010140556,-0.18687926832076956,A,B,0
168,488,0.5348535261454885,-0.3468614228163748,A,B,0
328,648,0.5272241328745354,-0.4646991697651487,A,B,0
488,808,0.6671806208199902,-0.532538171498515,A,B,0
648,968,0.3493284596560911,-0.43268029412968784,A,B,0
808,1128,0.4867395761990587,-0.16589627126167375,A,B,0
968,1288,0.5384086359488285,-0.017495937101694947,A,B,0
1128,1448,0.29207729491797546,-0.10021433413089273,A,B,0
1288,1608,0.34465930943530015,-0.09048477960871217,A,B,0
1448,1768,0.7025521510464249,-0.11675056596003992,A,B,0
1608,1928,0.416083571228023,-0.325535113983086,A,B,0
1768,2088,0.08649799574894614,-0.23404502489172185,A,B,0
1928,2248,0.5948479407380872,0.33436787684943603,A,B,0
2088,2408,0.5049305117421256,-0.03443976431906119,A,B,0
2248,2568,0.6667221221374182,-0.23039230499828792,A,B,0
2408,2728,0.6135013257353511,-0.46423679565512127,A,B,0
2568,2888,0.2972594378594023,0.0015458425335074279,A,B,0
2728,3048,0.11583829272179709,0.058692132915748194,A,B,0
2888,3208,0.5024480752478102,-0.294770101676784,A,B,0
3048,3368,0.7509409906578246,-0.17946161354271203,A,B,0
3208,3528,0.7382200840835463,-0.11855021564538497,A,B,0
3368,3688,0.4744275826168659,-0.42320658191372557,A,B,0
3528,3848,0.7193050740319556,0.10742598783877196,A,B,0
3688,4008,0.8480463638832347,0.18796048794290796,A,B,0
3848,4168,0.7030947152025698,0.31037039522228865,A,B,0
4008,4328,0.6014643459295103,-0.07278092267318834,A,B,0
4168,4488,0.5243830217589742,0.2158942925323474,A,B,0
4328,4648,0.3648010625878781,0.013405040566880971,A,B,0
4488,4808,0.1694738909182202,-0.3890227509006874,A,B,0
4648,4968,0.4367799830692537,-0.07938454177663228,A,B,0
4808,5128,0.6590467118576255,-0.24794676284209877,A,B,0
4968,5288,0.5444664217980594,-0.2022231750056191,A,B,0
5128,5448,0.4368454148705033,-0.07887172902740476,A,B,0
5288,5608,0.47952992511484144,-0.08048506617416093,A,B,0
5448,5768,0.5718442664104947,-0.03459308840898333,A,B,0
5608,5928,0.6554468885558892,-0.3368300982319018,A,B,0
5768,6088,0.7515656827024084,-0.3118644706806559,A,B,0
5928,6248,0.5463872454474367,-0.181714872006454,A,B,0
6088,6408,0.20942396181014367,0.018781259953757953,A,B,0
6248,6568,0.14014875996961032,-0.024369161493951474,A,B,0
6408,6728,-0.265402442239988,0.12327168727423299,B,B,1
6568,6888,-0.2657646156694179,0.019995355537514792,B,B,1
6728,7048,0.01421448933259496,-0.06509611970921167,A,B,0
6888,7208,0.28246105950270317,0.28133297500499355,A,B,0
7048,7368,0.3526824536569774,0.3028719764146819,A,B,0
7208,7528,0.523033461203837,0.3225432474618965,A,B,0
7368,7688,0.6612237862206368,-0.05958975305677193,A,B,0
7528,7848,0.7109840841730592,-0.37341188564634664,A,B,0
7688,8008,0.6986703418196164,-0.2260537934076817,A,B,0
7848,8168,0.5406205224671937,-0.5060008242597575,A,B,0
8008,8328,0.4367529300752128,-0.39165488479990634,A,B,0
8168,8488,0.30167243581639913,-0.2299181704230305,A,B,0
8328,8648,0.00476147737374372,-0.0579419602236542,A,B,0
8488,8808,0.36007729268562,-0.011237293079944225,A,B,0
8648,8968,0.18711428593276652,0.12211381120606662,A,B,0
8808,9128,0.5104407843887303,0.03787125731747613,A,B,0
8968,9288,0.6477310959502487,-0.01605845393670813,A,B,0
9128,9448,0.25239034434583224,-0.13032192196441916,A,B,0
9288,9608,0.32867410421839105,-0.2715822277262288,A,B,0
9448,9768,0.24585173879106428,0.12467391323056061,A,B,0
9608,9928,0.43224288855838394,0.14155778651923484,A,B,0
9768,10088,0.48769547740964114,-0.19456995971734195,A,B,0
9928,10248,0.6192351548198414,-0.28004493613450854,A,B,0
10088,10408,0.5105603710828956,-0.17971207556054472,A,B,0
10248,10568,0.46277107302510506,-0.3574573089465615,A,B,0
10408,10728,0.44618748530297647,-0.17235376195340568,A,B,0
10568,10888,0.2950597260804722,0.005754475778012491,A,B,0
10728,11048,0.34854946747450977,-0.201959116628679,A,B,0
10888,11208,0.022705441598476893,-0.30652553071280614,A,B,0
11048,11368,0.665436628809357,0.07655389357956291,A,B,0
11208,11528,0.7814374240877081,0.020967921961052117,A,B,0
11368,11688,0.7187695618258334,-0.15380096318510098,A,B,0
11528,11848,0.7042941331462212,-0.195145308054081,A,B,0
11688,12008,0.5546127789515025,-0.08425309247285168,A,B,0
11848,12168,0.19625641149590903,-0.11683487779538225,A,B,0
12008,12328,0.11938725441130126,0.105061269130631,A,B,0
12168,12488,0.4615887356738309,-0.17135268035044052,A,B,0
12328,12648,0.7085092015770079,-0.13155066483532732,A,B,0
12488,12808,0.630908109960951,-0.5200986430582459,A,B,0
12648,12968,0.5298308257486031,-0.3873911055652831,A,B,0
12808,13128,0.35009956778731627,-0.08392608899025722,A,B,0
12968,13288,0.020210337494323792,0.12116875331061085,B,B,1
13128,13448,0.5715227244364369,-0.04204231318350353,A,B,0
13288,13608,0.6500730628929239,-0.1904005866113992,A,B,0
