subject,r_train,r_test,fs,lags_count,max_lag_ms,lag_step_ms,n_train_samples,n_total_samples,train_seconds,total_seconds,figure_path,status,error
1,0.14611601522569845,0.06595052689414792,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S01_reconstruction.png,ok,
2,0.1550531563228671,-0.004191885140787548,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S02_reconstruction.png,ok,
3,0.1350292350078624,0.06289519018743407,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S03_reconstruction.png,ok,
4,0.1503102346435165,-0.012980010141829165,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S04_reconstruction.png,ok,
5,0.1382325975445099,-0.023000201638091144,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S05_reconstruction.png,ok,
6,0.14528615080305377,-0.020521321670155607,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S06_reconstruction.png,ok,
7,0.14457340808548194,0.07098941025450156,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S07_reconstruction.png,ok,
8,0.1379281237874314,0.03367649406292994,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S08_reconstruction.png,ok,
9,0.14692125875761883,0.03300985205032371,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S09_reconstruction.png,ok,
10,0.13368690323359939,0.02199137869196375,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S10_reconstruction.png,ok,
11,0.1581170704557656,-0.041677364916582076,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S11_reconstruction.png,ok,
12,0.15156326271649914,0.026033669662046153,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S12_reconstruction.png,ok,
13,0.14655859944646596,0.01601205194983345,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S13_reconstruction.png,ok,
14,0.14679024912463368,0.01399593580263884,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S14_reconstruction.png,ok,
15,0.14990584934690757,0.06838087137429953,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S15_reconstruction.png,ok,
16,0.15924452790772917,0.010810881111637515,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S16_reconstruction.png,ok,
17,0.16736213967130506,-0.011965246098623279,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S17_reconstruction.png,ok,
18,0.1505875427720487,0.0019312777769086317,64.0,17,250,1,153587,191984,2399.796875,2999.75,figures/cca_S18_reconstruction.png,ok,
